Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#,  File
   72.38,    3289.2,  123.2    ,7.949e-001, 1.29,  1.84%,   0.78,     15360,  1,  A10-01.Spe
   74.56,    5167.8,  127.8    ,1.249e+000, 1.16,  1.60%,   5.68,     17018,  2,  A10-01.Spe
   84.41,    2583.9,  107.4    ,6.244e-001, 1.32,  1.60%,   5.73,     20889,  3,  A10-01.Spe
   91.98,     890.7,  97.5     ,2.152e-001, 1.44,  1.61%,   0.55,     12387,  4,  A10-01.Spe
  221.17,    1920.0,  101.3    ,4.640e-001, 1.53,  0.70%,   1.12,     15622,  5,  A10-01.Spe
  273.07,     609.9,  77.7     ,1.474e-001, 1.36,  0.50%,   0.86,    9081.0,  6,  A10-01.Spe
  510.69,    1377.1,  89.2     ,3.328e-001, 3.42,  0.67%,   0.81,     10870,  7,  A10-01.Spe
  554.08,   30175.2,  183.4    ,7.292e+000, 1.68,  0.30%,   2.52,     34011,  8,  A10-01.Spe
  558.83,    2050.0,  72.3     ,4.954e-001, 1.63,  0.29%,   0.99,    5604.0,  9,  A10-01.Spe
  606.00,     397.1,  50.0     ,9.597e-002, 1.46,  0.24%,   0.88,    3732.0, 10,  A10-01.Spe
  618.82,   17082.1,  139.8    ,4.128e+000, 1.75,  0.28%,   1.72,     20837, 11,  A10-01.Spe
  656.73,     262.2,  44.6     ,6.335e-002, 1.75,  0.27%,   0.55,    2736.0, 12,  A10-01.Spe
  698.10,    9997.5,  107.9    ,2.416e+000, 1.83,  0.26%,   1.74,     12460, 13,  A10-01.Spe
  776.28,   27795.1,  171.6    ,6.717e+000, 1.85,  0.24%,   3.49,     30068, 14,  A10-01.Spe
  827.63,    7717.7,  95.3     ,1.865e+000, 1.89,  0.23%,   2.07,    9813.0, 15,  A10-01.Spe
 1007.49,     348.7,  36.4     ,8.426e-002, 2.25,  0.22%,   1.22,    1891.0, 16,  A10-01.Spe
 1043.87,    7449.2,  92.2     ,1.800e+000, 2.06,  0.20%,   2.23,    8985.0, 17,  A10-01.Spe
 1076.70,     154.5,  34.1     ,3.732e-002, 2.12,  0.20%,   0.76,    1327.0, 18,  A10-01.Spe
 1081.04,     171.9,  34.1     ,4.154e-002, 2.02,  0.19%,   0.71,    1333.0, 19,  A10-01.Spe
 1317.38,    6520.6,  83.1     ,1.576e+000, 2.28,  0.17%,   3.03,    7018.0, 20,  A10-01.Spe
 1330.67,     186.1,  20.5     ,4.497e-002, 2.53,  0.19%,   1.02,     468.0, 21,  A10-01.Spe
 1368.63,    8398.7,  93.4     ,2.030e+000, 2.32,  0.17%,   5.43,    8938.0, 22,  A10-01.Spe
 1395.41,      83.2,  16.2     ,2.012e-002, 2.47,  0.18%,   1.02,     357.0, 23,  A10-01.Spe
 1474.88,    3531.4,  61.2     ,8.534e-001, 2.39,  0.16%,   2.51,    3844.0, 24,  A10-01.Spe
 1524.49,      83.3,  15.2     ,2.014e-002, 2.83,  0.19%,   0.99,     316.0, 25,  A10-01.Spe
 1604.29,      76.3,  14.6     ,1.844e-002, 3.01,  0.19%,   0.85,     248.0, 26,  A10-01.Spe
 1650.24,     139.2,  16.2     ,3.363e-002, 2.35,  0.14%,   0.98,     336.0, 27,  A10-01.Spe
 1731.69,     279.4,  21.7     ,6.752e-002, 3.55,  0.21%,   1.36,     574.0, 28,  A10-01.Spe
 1820.20,      50.2,  12.4     ,1.212e-002, 1.79,  0.10%,   1.17,     233.0, 29,  A10-01.Spe
 1871.86,     112.1,  16.8     ,2.709e-002, 2.92,  0.16%,   0.81,     388.0, 30,  A10-01.Spe
 2093.69,      92.3,  16.2     ,2.229e-002, 3.61,  0.17%,   0.73,     288.0, 31,  A10-01.Spe
 2242.76,     660.1,  30.4     ,1.595e-001, 4.03,  0.18%,   1.23,    1052.0, 32,  A10-01.Spe
 2753.72,    4528.1,  68.7     ,1.094e+000, 3.20,  0.12%,   8.21,    4937.0, 33,  A10-01.Spe
