Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#,  File
   72.35,    5306.6,  151.9    ,1.132e+000, 1.26,  1.79%,   1.02,     24030,  1,  A7-02.Spe
   74.49,    8643.5,  160.0    ,1.845e+000, 1.18,  1.63%,   8.85,     25658,  2,  A7-02.Spe
   84.33,    4536.0,  138.9    ,9.680e-001, 1.47,  1.78%,   1.26,     21295,  3,  A7-02.Spe
   86.86,    1078.8,  117.3    ,2.302e-001, 1.29,  1.52%,   0.58,     12188,  4,  A7-02.Spe
   91.75,    1433.8,  111.9    ,3.060e-001, 1.22,  1.36%,   1.50,     17256,  5,  A7-02.Spe
  159.08,     389.0,  98.5     ,8.301e-002, 1.19,  0.76%,   0.86,     14064,  6,  A7-02.Spe
  221.09,    2887.9,  120.5    ,6.163e-001, 1.31,  0.60%,   1.82,     22676,  7,  A7-02.Spe
  273.11,     963.4,  105.4    ,2.056e-001, 1.63,  0.60%,   0.61,     17808,  8,  A7-02.Spe
  510.63,    2079.2,  105.2    ,4.437e-001, 3.12,  0.61%,   1.79,     15780,  9,  A7-02.Spe
  553.93,   50272.9,  235.2    ,1.073e+001, 1.64,  0.30%,   3.51,     56897, 10,  A7-02.Spe
  558.72,    3109.9,  89.1     ,6.637e-001, 1.62,  0.29%,   0.33,    6972.0, 11,  A7-02.Spe
  605.98,     748.0,  63.5     ,1.596e-001, 1.55,  0.26%,   0.63,    6083.0, 12,  A7-02.Spe
  618.67,   28392.3,  178.7    ,6.059e+000, 1.69,  0.27%,   2.80,     34272, 13,  A7-02.Spe
  656.52,     432.2,  63.2     ,9.223e-002, 2.43,  0.37%,   1.30,    5812.0, 14,  A7-02.Spe
  697.92,   17168.0,  139.4    ,3.664e+000, 1.79,  0.26%,   2.12,     20541, 15,  A7-02.Spe
  776.10,   47842.2,  224.2    ,1.021e+001, 1.87,  0.24%,   5.74,     51606, 16,  A7-02.Spe
  827.41,   13459.5,  124.5    ,2.872e+000, 1.96,  0.24%,   1.42,     16506, 17,  A7-02.Spe
  951.68,     164.1,  39.0     ,3.501e-002, 2.04,  0.22%,   0.77,    2219.0, 18,  A7-02.Spe
 1007.34,     640.8,  46.4     ,1.367e-001, 2.24,  0.22%,   1.04,    3058.0, 19,  A7-02.Spe
 1043.66,   12589.5,  119.3    ,2.687e+000, 2.01,  0.19%,   4.60,     15362, 20,  A7-02.Spe
 1080.88,     193.0,  40.5     ,4.118e-002, 1.78,  0.17%,   1.21,    2565.0, 21,  A7-02.Spe
 1172.88,     190.2,  37.5     ,4.059e-002, 2.20,  0.19%,   1.19,    2321.0, 22,  A7-02.Spe
 1214.51,     232.6,  48.3     ,4.963e-002, 5.11,  0.42%,   1.49,    2959.0, 23,  A7-02.Spe
 1317.14,   10811.9,  106.9    ,2.307e+000, 2.30,  0.17%,   4.43,     11748, 24,  A7-02.Spe
 1330.62,     256.3,  27.3     ,5.470e-002, 2.72,  0.21%,   1.18,    1038.0, 25,  A7-02.Spe
 1368.33,   12216.1,  112.8    ,2.607e+000, 2.33,  0.17%,   5.72,     13084, 26,  A7-02.Spe
 1395.47,     136.2,  18.7     ,2.908e-002, 1.71,  0.12%,   0.92,     485.0, 27,  A7-02.Spe
 1460.37,      54.8,  15.7     ,1.170e-002, 1.64,  0.11%,   1.24,     371.0, 28,  A7-02.Spe
 1474.59,    5898.2,  79.2     ,1.259e+000, 2.32,  0.16%,   4.63,    6540.0, 29,  A7-02.Spe
 1524.29,     128.2,  17.9     ,2.736e-002, 2.27,  0.15%,   1.32,     419.0, 30,  A7-02.Spe
 1603.77,      68.8,  16.6     ,1.467e-002, 2.29,  0.14%,   0.90,     408.0, 31,  A7-02.Spe
 1650.12,     260.1,  21.3     ,5.551e-002, 2.55,  0.16%,   0.97,     557.0, 32,  A7-02.Spe
 1731.23,     454.4,  28.0     ,9.698e-002, 4.05,  0.23%,   0.96,     919.0, 33,  A7-02.Spe
 1779.65,      54.2,  16.0     ,1.157e-002, 2.43,  0.14%,   1.01,     402.0, 34,  A7-02.Spe
 1820.03,      70.8,  16.6     ,1.510e-002, 2.38,  0.13%,   1.17,     406.0, 35,  A7-02.Spe
 1871.19,     165.2,  19.7     ,3.526e-002, 2.73,  0.15%,   1.03,     525.0, 36,  A7-02.Spe
 2093.88,     132.3,  19.8     ,2.823e-002, 3.14,  0.15%,   1.16,     545.0, 37,  A7-02.Spe
 2242.23,    1001.1,  37.7     ,2.136e-001, 3.89,  0.17%,   0.90,    1642.0, 38,  A7-02.Spe
 2753.17,    6945.2,  85.0     ,1.482e+000, 3.33,  0.12%,   8.08,    7347.0, 39,  A7-02.Spe
