Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#,  File
   92.09,     973.3,  86.0     ,2.572e-001, 1.03,  1.12%,   1.27,     11280,  1,  C14-01.Spe
  137.21,     295.9,  71.4     ,7.821e-002,0.901,  0.66%,   1.45,    7459.0,  2,  C14-01.Spe
  159.40,     645.1,  82.2     ,1.705e-001, 1.20,  0.75%,   0.81,     10229,  3,  C14-01.Spe
  181.24,     170.4,  61.5     ,4.502e-002,0.649,  0.36%,   0.99,    6165.0,  4,  C14-01.Spe
  221.54,    3523.6,  98.8     ,9.312e-001, 1.19,  0.54%,   0.86,     13271,  5,  C14-01.Spe
  273.59,     897.8,  77.0     ,2.373e-001, 1.10,  0.40%,   0.67,    8641.0,  6,  C14-01.Spe
  511.93,    1658.9,  140.4    ,4.384e-001, 5.29,  1.03%,   1.41,     18964,  7,  C14-01.Spe
  554.50,   59644.8,  256.2    ,1.576e+001, 1.42,  0.26%,   1.77,     66608,  8,  C14-01.Spe
  559.25,    6850.4,  113.0    ,1.810e+000, 1.39,  0.25%,   0.88,     13512,  9,  C14-01.Spe
  606.49,     722.3,  73.9     ,1.909e-001, 1.62,  0.27%,   1.24,    8167.0, 10,  C14-01.Spe
  619.27,   31633.2,  190.2    ,8.360e+000, 1.48,  0.24%,   1.35,     38129, 11,  C14-01.Spe
  657.24,     796.8,  66.2     ,2.106e-001, 1.55,  0.24%,   0.77,    6289.0, 12,  C14-01.Spe
  698.56,   16848.6,  142.6    ,4.453e+000, 1.55,  0.22%,   1.23,     21922, 13,  C14-01.Spe
  776.71,   53631.0,  240.7    ,1.417e+001, 1.58,  0.20%,   1.19,     59541, 14,  C14-01.Spe
  828.03,   16260.8,  141.3    ,4.297e+000, 1.64,  0.20%,   1.21,     21686, 15,  C14-01.Spe
  998.19,     237.2,  56.5     ,6.270e-002, 1.55,  0.16%,   0.80,    4842.0, 16,  C14-01.Spe
 1007.65,     750.4,  61.6     ,1.983e-001, 1.65,  0.16%,   0.77,    5437.0, 17,  C14-01.Spe
 1044.22,   14959.1,  136.0    ,3.953e+000, 1.76,  0.17%,   1.02,     20146, 18,  C14-01.Spe
 1076.85,     549.0,  64.8     ,1.451e-001, 1.84,  0.17%,   1.05,    4181.0, 19,  C14-01.Spe
 1081.22,     236.1,  57.1     ,6.240e-002, 1.46,  0.14%,   0.82,    4329.0, 20,  C14-01.Spe
 1173.62,    2925.3,  75.9     ,7.731e-001, 1.76,  0.15%,   1.00,    6337.0, 21,  C14-01.Spe
 1216.39,     263.7,  45.8     ,6.969e-002, 1.39,  0.11%,   0.79,    3208.0, 22,  C14-01.Spe
 1252.83,    1512.1,  59.1     ,3.996e-001, 1.94,  0.16%,   0.96,    4525.0, 23,  C14-01.Spe
 1317.68,   13764.0,  124.9    ,3.637e+000, 1.95,  0.15%,   1.12,     16399, 24,  C14-01.Spe
 1331.03,    3300.9,  70.4     ,8.723e-001, 1.95,  0.15%,   0.97,    5835.0, 25,  C14-01.Spe
 1368.85,   40113.1,  205.0    ,1.060e+001, 1.97,  0.14%,   1.59,     42835, 26,  C14-01.Spe
 1395.72,    1371.5,  51.0     ,3.624e-001, 2.02,  0.14%,   0.87,    2795.0, 27,  C14-01.Spe
 1475.10,    8057.1,  96.8     ,2.129e+000, 2.08,  0.14%,   1.35,    9637.0, 28,  C14-01.Spe
 1525.09,     272.8,  36.8     ,7.209e-002, 2.18,  0.14%,   1.02,    1841.0, 29,  C14-01.Spe
 1604.47,    1146.7,  47.0     ,3.030e-001, 1.96,  0.12%,   0.97,    2788.0, 30,  C14-01.Spe
 1650.55,     321.0,  39.2     ,8.482e-002, 2.41,  0.15%,   0.89,    2224.0, 31,  C14-01.Spe
 1732.41,    1369.8,  49.0     ,3.620e-001, 2.46,  0.14%,   1.04,    2955.0, 32,  C14-01.Spe
 1820.62,    1164.1,  45.1     ,3.076e-001, 2.24,  0.12%,   0.95,    2172.0, 33,  C14-01.Spe
 1871.92,    2319.0,  56.9     ,6.129e-001, 2.25,  0.12%,   1.06,    3705.0, 34,  C14-01.Spe
 1950.01,     140.7,  29.5     ,3.719e-002, 2.17,  0.11%,   0.96,    1221.0, 35,  C14-01.Spe
 2029.29,     709.3,  38.9     ,1.874e-001, 2.41,  0.12%,   0.97,    1943.0, 36,  C14-01.Spe
 2094.16,    1617.1,  48.9     ,4.274e-001, 2.49,  0.12%,   1.26,    2818.0, 37,  C14-01.Spe
 2243.32,    3179.3,  66.8     ,8.402e-001, 3.37,  0.15%,   1.08,    5085.0, 38,  C14-01.Spe
 2648.31,     221.7,  26.9     ,5.858e-002, 3.32,  0.13%,   0.97,     954.0, 39,  C14-01.Spe
 2751.65,   21648.1,  149.0    ,5.721e+000, 3.20,  0.12%,   6.05,     23324, 40,  C14-01.Spe
