Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#,  File
   72.26,  120988.3,  739.5    ,1.805e+000, 1.29,  1.84%,   27.2,    541283,  1,  A13-01.Spe
   74.40,  216087.6,  769.5    ,3.224e+000, 1.25,  1.74%,  169.8,    599489,  2,  A13-01.Spe
   84.23,   98540.8,  655.6    ,1.470e+000, 1.41,  1.72%,  232.2,    730012,  3,  A13-01.Spe
   91.67,   38861.4,  553.8    ,5.798e-001, 1.30,  1.45%,   1.07,    434833,  4,  A13-01.Spe
  220.95,   81546.4,  611.2    ,1.217e+000, 1.41,  0.64%,   1.13,    602292,  5,  A13-01.Spe
  272.94,   24498.9,  481.1    ,3.655e-001, 1.44,  0.53%,   1.32,    330385,  6,  A13-01.Spe
  510.44,   25989.9,  480.0    ,3.878e-001, 3.10,  0.61%,   5.19,    352349,  7,  A13-01.Spe
  553.73, 1308373.3,  1198.4   ,1.952e+001, 1.64,  0.30%,  133.1,   1475980,  8,  A13-01.Spe
  558.45,   37471.7,  392.0    ,5.591e-001, 1.65,  0.30%,   12.7,    162694,  9,  A13-01.Spe
  605.71,   19729.6,  314.2    ,2.944e-001, 1.64,  0.27%,   1.30,    131383, 10,  A13-01.Spe
  618.45,  750354.8,  914.9    ,1.119e+001, 1.73,  0.28%,   39.7,    882783, 11,  A13-01.Spe
  656.44,    4359.0,  240.1    ,6.503e-002, 1.67,  0.26%,   1.06,     84584, 12,  A13-01.Spe
  697.68,  443422.1,  704.5    ,6.616e+000, 1.81,  0.26%,   22.4,    520436, 13,  A13-01.Spe
  775.85, 1240139.7,  1140.4   ,1.850e+001, 1.87,  0.24%,  161.8,   1318057, 14,  A13-01.Spe
  827.16,  343548.9,  625.3    ,5.126e+000, 1.91,  0.23%,   29.5,    415296, 15,  A13-01.Spe
  888.61,    2204.2,  175.8    ,3.289e-002, 1.77,  0.20%,   1.03,     49111, 16,  A13-01.Spe
  951.31,    4804.4,  175.5    ,7.168e-002, 1.95,  0.21%,   1.22,     46086, 17,  A13-01.Spe
  962.82,    1742.4,  228.7    ,2.600e-002, 3.82,  0.40%,   1.13,     71054, 18,  A13-01.Spe
 1006.91,   15830.8,  207.6    ,2.362e-001, 2.00,  0.20%,   1.61,     64749, 19,  A13-01.Spe
 1043.33,  327453.5,  602.1    ,4.885e+000, 2.04,  0.20%,   74.4,    385190, 20,  A13-01.Spe
 1076.03,    1375.1,  159.4    ,2.052e-002, 1.48,  0.14%,   4.91,     40151, 21,  A13-01.Spe
 1080.62,    7040.6,  192.9    ,1.050e-001, 1.99,  0.18%,   1.04,     42364, 22,  A13-01.Spe
 1114.79,    2514.7,  183.2    ,3.752e-002, 2.37,  0.21%,   0.62,     38094, 23,  A13-01.Spe
 1119.86,    1781.4,  179.2    ,2.658e-002, 2.34,  0.21%,   0.72,     35465, 24,  A13-01.Spe
 1172.65,    5546.4,  164.3    ,8.275e-002, 2.14,  0.18%,   1.36,     39446, 25,  A13-01.Spe
 1215.22,    2066.8,  172.6    ,3.084e-002, 3.37,  0.28%,   2.78,     39455, 26,  A13-01.Spe
 1251.90,    3453.4,  141.9    ,5.152e-002, 2.39,  0.19%,   1.14,     30505, 27,  A13-01.Spe
 1296.22,    1159.1,  111.8    ,1.729e-002, 2.27,  0.18%,   1.08,     13834, 28,  A13-01.Spe
 1316.74,  279735.0,  544.2    ,4.174e+000, 2.31,  0.18%,   91.0,    301248, 29,  A13-01.Spe
 1330.05,    6306.5,  121.6    ,9.409e-002, 2.29,  0.17%,   1.05,     16550, 30,  A13-01.Spe
 1367.94,  142349.6,  388.9    ,2.124e+000, 2.33,  0.17%,   51.8,    157401, 31,  A13-01.Spe
 1394.77,    2659.8,  88.8     ,3.968e-002, 2.21,  0.16%,   1.61,     11555, 32,  A13-01.Spe
 1460.18,     542.0,  71.0     ,8.086e-003, 2.17,  0.15%,   0.55,    7530.0, 33,  A13-01.Spe
 1474.16,  154986.6,  404.1    ,2.312e+000, 2.40,  0.16%,   62.3,    167378, 34,  A13-01.Spe
 1524.04,     816.9,  68.4     ,1.219e-002, 2.70,  0.18%,   1.51,    7168.0, 35,  A13-01.Spe
 1603.42,    2388.9,  76.9     ,3.564e-002, 2.44,  0.15%,   1.81,    7285.0, 36,  A13-01.Spe
 1649.52,    6292.2,  99.0     ,9.388e-002, 2.55,  0.16%,   1.81,     11467, 37,  A13-01.Spe
 1731.00,    4898.6,  93.7     ,7.309e-002, 3.34,  0.19%,   3.25,     11332, 38,  A13-01.Spe
 1778.78,     922.9,  60.2     ,1.377e-002, 2.43,  0.14%,   1.10,    5216.0, 39,  A13-01.Spe
 1819.41,    2131.7,  69.8     ,3.180e-002, 2.58,  0.14%,   1.02,    5508.0, 40,  A13-01.Spe
 1870.73,    4445.1,  86.3     ,6.632e-002, 2.70,  0.14%,   0.95,    9677.0, 41,  A13-01.Spe
 1956.25,     310.0,  50.8     ,4.625e-003, 2.29,  0.12%,   0.77,    3864.0, 42,  A13-01.Spe
 2028.09,    1155.3,  64.4     ,1.724e-002, 2.88,  0.14%,   1.40,    5859.0, 43,  A13-01.Spe
 2092.82,    2647.1,  76.3     ,3.949e-002, 2.85,  0.14%,   0.92,    7042.0, 44,  A13-01.Spe
 2241.75,   11515.5,  129.0    ,1.718e-001, 4.10,  0.18%,   2.33,     18999, 45,  A13-01.Spe
 2752.49,   80971.9,  289.7    ,1.208e+000, 3.45,  0.13%,   62.7,     85529, 46,  A13-01.Spe
