Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#,  File
   85.02,     430.4,  117.8    ,1.237e-001,0.808,  0.95%,   1.20,     20575,  1,  C9-01.Spe
   92.12,    2801.2,  147.3    ,8.049e-001, 1.11,  1.21%,   1.06,     33142,  2,  C9-01.Spe
  159.39,    2213.3,  135.9    ,6.360e-001, 1.14,  0.72%,   0.79,     28832,  3,  C9-01.Spe
  221.53,    9804.1,  164.4    ,2.817e+000, 1.16,  0.53%,   1.01,     37418,  4,  C9-01.Spe
  273.58,    2882.2,  138.3    ,8.282e-001, 1.28,  0.47%,   1.07,     28452,  5,  C9-01.Spe
  510.95,     527.5,  121.2    ,1.516e-001, 1.37,  0.27%,   0.98,     18733,  6,  C9-01.Spe
  514.07,    2030.5,  150.4    ,5.835e-001, 2.26,  0.44%,   1.20,     29591,  7,  C9-01.Spe
  554.50,  168395.0,  434.5    ,4.839e+001, 1.43,  0.26%,   4.40,    190231,  8,  C9-01.Spe
  559.26,   23083.9,  203.7    ,6.633e+000, 1.41,  0.25%,   1.95,     42044,  9,  C9-01.Spe
  606.51,    2309.2,  117.8    ,6.636e-001, 1.47,  0.24%,   1.03,     19886, 10,  C9-01.Spe
  619.28,   90466.0,  321.9    ,2.600e+001, 1.51,  0.24%,   7.44,    116033, 11,  C9-01.Spe
  657.25,    2240.4,  107.6    ,6.438e-001, 1.50,  0.23%,   0.94,     16710, 12,  C9-01.Spe
  698.55,   48650.5,  241.8    ,1.398e+001, 1.58,  0.23%,   4.19,     65050, 13,  C9-01.Spe
  776.71,  155658.7,  409.2    ,4.473e+001, 1.61,  0.21%,   20.7,    177566, 14,  C9-01.Spe
  828.02,   47335.7,  239.9    ,1.360e+001, 1.65,  0.20%,   1.81,     62184, 15,  C9-01.Spe
  889.35,     556.6,  100.3    ,1.599e-001, 2.03,  0.23%,   0.86,     15452, 16,  C9-01.Spe
  952.36,     435.4,  84.4     ,1.251e-001, 1.50,  0.16%,   1.03,     11435, 17,  C9-01.Spe
  998.19,     708.6,  93.6     ,2.036e-001, 1.83,  0.18%,   1.07,     13092, 18,  C9-01.Spe
 1007.75,    2234.5,  99.1     ,6.421e-001, 1.74,  0.17%,   0.72,     14294, 19,  C9-01.Spe
 1044.21,   43552.7,  229.2    ,1.252e+001, 1.79,  0.17%,   1.78,     57227, 20,  C9-01.Spe
 1076.95,    1136.3,  92.1     ,3.265e-001, 1.57,  0.15%,   1.13,    9884.0, 21,  C9-01.Spe
 1081.52,     745.1,  90.8     ,2.141e-001, 1.60,  0.15%,   1.13,     10167, 22,  C9-01.Spe
 1173.61,    8055.4,  120.9    ,2.315e+000, 1.83,  0.16%,   1.14,     18187, 23,  C9-01.Spe
 1216.47,     999.7,  81.1     ,2.873e-001, 1.77,  0.15%,   1.14,     10428, 24,  C9-01.Spe
 1252.84,    4421.6,  97.1     ,1.271e+000, 1.89,  0.15%,   1.13,     12054, 25,  C9-01.Spe
 1297.44,     464.5,  64.6     ,1.335e-001, 1.77,  0.14%,   0.73,    6098.0, 26,  C9-01.Spe
 1317.69,   40329.1,  212.7    ,1.159e+001, 1.98,  0.15%,   2.90,     47992, 27,  C9-01.Spe
 1331.01,    9175.7,  115.5    ,2.637e+000, 2.00,  0.15%,   1.45,     15451, 28,  C9-01.Spe
 1368.87,   49104.6,  231.3    ,1.411e+001, 1.98,  0.15%,   3.25,     56506, 29,  C9-01.Spe
 1395.76,    3665.8,  83.7     ,1.053e+000, 2.00,  0.14%,   0.77,    8873.0, 30,  C9-01.Spe
 1475.12,   22539.8,  160.8    ,6.477e+000, 2.06,  0.14%,   2.22,     27700, 31,  C9-01.Spe
 1525.03,     630.2,  58.5     ,1.811e-001, 2.17,  0.14%,   0.97,    4707.0, 32,  C9-01.Spe
 1604.45,    3457.7,  78.3     ,9.936e-001, 2.08,  0.13%,   0.96,    7675.0, 33,  C9-01.Spe
 1650.55,     963.4,  59.7     ,2.768e-001, 2.25,  0.14%,   0.93,    5042.0, 34,  C9-01.Spe
 1732.38,    1587.0,  59.6     ,4.560e-001, 2.13,  0.12%,   1.15,    4168.0, 35,  C9-01.Spe
 1820.60,    3132.9,  71.0     ,9.003e-001, 2.28,  0.13%,   0.82,    6035.0, 36,  C9-01.Spe
 1871.91,    6633.0,  92.5     ,1.906e+000, 2.31,  0.12%,   0.95,    9517.0, 37,  C9-01.Spe
 1950.19,     376.5,  41.7     ,1.082e-001, 2.40,  0.12%,   0.90,    2208.0, 38,  C9-01.Spe
 2029.35,    1996.7,  57.2     ,5.738e-001, 2.31,  0.11%,   1.28,    3945.0, 39,  C9-01.Spe
 2094.05,    4515.2,  77.0     ,1.297e+000, 2.47,  0.12%,   1.35,    6113.0, 40,  C9-01.Spe
 2243.33,    3986.8,  76.4     ,1.146e+000, 3.53,  0.16%,   1.09,    6321.0, 41,  C9-01.Spe
 2648.35,     573.2,  33.1     ,1.647e-001, 2.33,  0.09%,   0.91,    1388.0, 42,  C9-01.Spe
 2751.76,   26641.4,  166.3    ,7.656e+000, 3.22,  0.12%,   10.5,     28232, 43,  C9-01.Spe
