Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#,  File
   30.70,   70069.8,  662.0    ,1.093e+000, 2.96, 10.27%,   12.2,    319960,  1,  A17-01.Spe
   35.45,   98296.6,  789.4    ,1.533e+000, 2.49,  7.42%,   6.42,    373810,  2,  A17-01.Spe
   40.72,  414755.8,  895.1    ,6.467e+000, 1.93,  4.98%,  984.5,    748060,  3,  A17-01.Spe
   46.54,   70193.2,  557.3    ,1.094e+000, 1.58,  3.54%,  181.5,    290692,  4,  A17-01.Spe
   50.28,   11034.9,  406.5    ,1.721e-001, 1.23,  2.55%,   3.66,    109292,  5,  A17-01.Spe
   53.74,   23653.6,  511.7    ,3.688e-001, 2.29,  4.43%,   5.08,    112095,  6,  A17-01.Spe
   57.18,    6875.6,  393.0    ,1.072e-001, 1.12,  2.03%,   10.6,    197824,  7,  A17-01.Spe
   62.74,    6994.4,  365.1    ,1.091e-001, 1.01,  1.67%,   2.77,    127984,  8,  A17-01.Spe
   69.25,   28088.7,  432.8    ,4.379e-001, 1.09,  1.63%,   64.6,    283482,  9,  A17-01.Spe
   72.41,   45615.3,  490.3    ,7.112e-001, 1.23,  1.76%,   6.77,    162185, 10,  A17-01.Spe
   74.59,   85872.5,  533.3    ,1.339e+000, 1.21,  1.66%,   74.9,    295962, 11,  A17-01.Spe
   84.36,   35855.3,  442.7    ,5.590e-001, 1.34,  1.63%,   6.23,    173643, 12,  A17-01.Spe
   86.69,   21387.0,  418.2    ,3.335e-001, 1.68,  1.98%,   1.68,    107125, 13,  A17-01.Spe
   90.72,    7941.9,  332.0    ,1.238e-001, 1.16,  1.31%,   1.86,     93091, 14,  A17-01.Spe
   94.28,   12873.4,  339.6    ,2.007e-001, 1.26,  1.36%,   0.14,     83925, 15,  A17-01.Spe
   98.15,   38824.6,  451.5    ,6.053e-001, 2.17,  2.25%,   14.3,    142115, 16,  A17-01.Spe
  102.85,  237253.1,  580.0    ,3.699e+000, 1.32,  1.31%,   10.2,    312494, 17,  A17-01.Spe
  105.78,   11573.3,  307.8    ,1.804e-001, 1.15,  1.11%,   2.47,     72290, 18,  A17-01.Spe
  112.98,   17424.5,  378.8    ,2.717e-001, 1.79,  1.62%,   37.9,    213789, 19,  A17-01.Spe
  121.52,   64676.9,  405.6    ,1.008e+000, 1.50,  1.26%,  151.5,    239941, 20,  A17-01.Spe
  132.76,   15372.3,  316.2    ,2.397e-001, 1.37,  1.05%,   17.0,    206178, 21,  A17-01.Spe
  145.10,   37971.4,  349.0    ,5.920e-001, 1.39,  0.97%,   2.13,    159926, 22,  A17-01.Spe
  159.07,    5870.5,  272.6    ,9.153e-002, 1.20,  0.77%,   1.62,    121616, 23,  A17-01.Spe
  176.90,    3023.0,  264.9    ,4.713e-002, 1.27,  0.73%,   1.55,     94801, 24,  A17-01.Spe
  191.98,    2779.5,  254.6    ,4.334e-002, 1.30,  0.69%,   1.19,     95036, 25,  A17-01.Spe
  197.67,    5914.5,  286.2    ,9.222e-002, 1.54,  0.79%,   1.01,    116300, 26,  A17-01.Spe
  208.12,   16037.1,  308.0    ,2.500e-001, 1.51,  0.74%,   2.51,    141561, 27,  A17-01.Spe
  215.79,    5390.5,  285.4    ,8.405e-002, 1.46,  0.69%,   0.79,    125831, 28,  A17-01.Spe
  221.69,    1761.9,  268.1    ,2.747e-002, 1.39,  0.64%,   1.19,     93969, 29,  A17-01.Spe
  227.88,    6928.8,  291.6    ,1.080e-001, 1.61,  0.72%,   0.64,    119101, 30,  A17-01.Spe
  244.39,    8792.3,  254.8    ,1.371e-001, 1.24,  0.52%,   3.05,    104824, 31,  A17-01.Spe
  266.32,    1625.7,  256.3    ,2.535e-002, 1.70,  0.65%,   1.46,     95983, 32,  A17-01.Spe
  277.25,    5016.7,  232.0    ,7.822e-002, 1.39,  0.51%,   1.71,     69787, 33,  A17-01.Spe
  282.21,    7551.0,  243.6    ,1.177e-001, 1.51,  0.54%,   1.39,     69985, 34,  A17-01.Spe
  292.97,    1548.3,  186.4    ,2.414e-002, 1.03,  0.35%,   1.20,     57732, 35,  A17-01.Spe
  299.46,    8580.7,  281.4    ,1.338e-001, 2.27,  0.76%,   3.37,    104548, 36,  A17-01.Spe
  311.60,   35911.5,  281.5    ,5.599e-001, 1.49,  0.48%,   1.85,     91188, 37,  A17-01.Spe
  319.78,   25219.8,  256.3    ,3.932e-001, 1.50,  0.47%,   1.03,     90022, 38,  A17-01.Spe
  328.48,   66338.7,  321.7    ,1.034e+000, 1.50,  0.46%,   1.93,    125166, 39,  A17-01.Spe
  340.20,    3809.7,  198.1    ,5.940e-002, 1.56,  0.46%,   1.10,     41382, 40,  A17-01.Spe
  343.99,   32635.2,  265.5    ,5.088e-001, 1.60,  0.47%,   14.5,     77641, 41,  A17-01.Spe
  373.05,    2557.0,  203.0    ,3.987e-002, 2.05,  0.55%,   2.03,     51816, 42,  A17-01.Spe
  396.08,   12858.6,  201.9    ,2.005e-001, 1.56,  0.40%,   4.13,     64495, 43,  A17-01.Spe
  410.94,    2594.3,  172.8    ,4.045e-002, 1.67,  0.41%,   1.02,     39050, 44,  A17-01.Spe
  415.42,    1162.2,  148.7    ,1.812e-002, 1.30,  0.32%,   1.78,     27512, 45,  A17-01.Spe
  432.28,    7825.3,  179.9    ,1.220e-001, 1.61,  0.37%,   1.06,     47710, 46,  A17-01.Spe
  443.71,    2705.6,  161.0    ,4.218e-002, 1.55,  0.35%,   0.91,     40262, 47,  A17-01.Spe
  481.92,   11505.7,  188.3    ,1.794e-001, 1.52,  0.32%,   5.52,     41522, 48,  A17-01.Spe
  486.77,  108618.1,  365.3    ,1.694e+000, 1.60,  0.33%,   2.99,    139185, 49,  A17-01.Spe
  496.12,    6355.5,  172.0    ,9.909e-002, 1.67,  0.34%,   0.71,     43968, 50,  A17-01.Spe
  510.80,    7783.0,  217.4    ,1.213e-001, 2.80,  0.55%,   1.14,     69246, 51,  A17-01.Spe
  530.78,    1836.6,  156.3    ,2.864e-002, 1.59,  0.30%,   0.80,     37640, 52,  A17-01.Spe
  538.32,     653.5,  194.5    ,1.019e-002, 2.62,  0.49%,   1.29,     40424, 53,  A17-01.Spe
  554.08,    2075.9,  162.8    ,3.237e-002, 1.69,  0.31%,   1.50,     28755, 54,  A17-01.Spe
  558.87,   13791.9,  194.6    ,2.150e-001, 1.62,  0.29%,   2.53,     36752, 55,  A17-01.Spe
  563.67,   11549.3,  199.0    ,1.801e-001, 1.90,  0.34%,   1.13,     32728, 56,  A17-01.Spe
  569.06,    3354.4,  170.4    ,5.230e-002, 1.71,  0.30%,   1.11,     34227, 57,  A17-01.Spe
  604.44,   22944.9,  228.0    ,3.577e-001, 1.78,  0.30%,   8.94,     73027, 58,  A17-01.Spe
  618.92,    1306.5,  166.9    ,2.037e-002, 1.65,  0.27%,   1.37,     44867, 59,  A17-01.Spe
  656.81,    1840.9,  187.6    ,2.870e-002, 1.92,  0.29%,   0.69,     53825, 60,  A17-01.Spe
  723.08,    2335.1,  171.4    ,3.641e-002, 2.10,  0.29%,   1.50,     45999, 61,  A17-01.Spe
  751.44,    8048.8,  172.6    ,1.255e-001, 1.86,  0.25%,   0.79,     37427, 62,  A17-01.Spe
  756.30,    1596.2,  172.1    ,2.489e-002, 2.59,  0.34%,   0.76,     28071, 63,  A17-01.Spe
  778.63,    8146.8,  172.4    ,1.270e-001, 1.94,  0.25%,   7.58,     43756, 64,  A17-01.Spe
  795.64,   16480.5,  189.1    ,2.570e-001, 1.87,  0.24%,   0.94,     43037, 65,  A17-01.Spe
  801.67,    1443.2,  142.4    ,2.250e-002, 1.83,  0.23%,   0.72,     24311, 66,  A17-01.Spe
  815.59,   40905.4,  248.6    ,6.378e-001, 1.89,  0.23%,   2.13,     66493, 67,  A17-01.Spe
  867.57,   11373.2,  187.9    ,1.773e-001, 1.96,  0.23%,   1.50,     43091, 68,  A17-01.Spe
  879.20,    1691.2,  160.3    ,2.637e-002, 1.85,  0.21%,   0.93,     34226, 69,  A17-01.Spe
  889.09,  369471.2,  630.0    ,5.761e+000, 1.95,  0.22%,   53.2,    415578, 70,  A17-01.Spe
  919.38,    4252.5,  151.1    ,6.630e-002, 1.97,  0.22%,   0.71,     23579, 71,  A17-01.Spe
  925.07,   10768.7,  168.7    ,1.679e-001, 1.93,  0.21%,   0.87,     31511, 72,  A17-01.Spe
  950.75,     811.9,  121.0    ,1.266e-002, 1.75,  0.18%,   0.97,     22248, 73,  A17-01.Spe
  963.98,    8948.1,  162.1    ,1.395e-001, 2.34,  0.24%,   3.28,     36867, 74,  A17-01.Spe
 1004.56,    1117.2,  112.2    ,1.742e-002, 2.14,  0.21%,   1.45,     19220, 75,  A17-01.Spe
 1076.63,    2929.3,  108.4    ,4.567e-002, 2.02,  0.19%,   1.30,     16069, 76,  A17-01.Spe
 1085.68,    6256.2,  129.6    ,9.754e-002, 2.24,  0.21%,   5.23,     24014, 77,  A17-01.Spe
 1099.16,   18517.5,  167.3    ,2.887e-001, 2.10,  0.19%,   2.47,     33406, 78,  A17-01.Spe
 1111.97,    5988.2,  131.0    ,9.337e-002, 2.10,  0.19%,   1.15,     18118, 79,  A17-01.Spe
 1120.46,  310698.0,  570.6    ,4.844e+000, 2.11,  0.19%,   87.9,    333960, 80,  A17-01.Spe
 1173.15,   36546.3,  209.1    ,5.698e-001, 2.17,  0.19%,   7.35,     50953, 81,  A17-01.Spe
 1188.99,     923.8,  80.1     ,1.440e-002, 1.99,  0.17%,   1.27,    9714.0, 82,  A17-01.Spe
 1214.25,    2137.7,  130.9    ,3.333e-002, 6.31,  0.52%,   1.80,     15014, 83,  A17-01.Spe
 1221.32,    1605.5,  86.1     ,2.503e-002, 2.38,  0.20%,   1.57,    8107.0, 84,  A17-01.Spe
 1230.87,     892.3,  90.7     ,1.391e-002, 3.00,  0.24%,   0.90,     10327, 85,  A17-01.Spe
 1274.19,    1845.2,  94.1     ,2.877e-002, 2.76,  0.22%,   1.27,     13136, 86,  A17-01.Spe
 1291.53,   12531.0,  137.0    ,1.954e-001, 2.29,  0.18%,   3.24,     20540, 87,  A17-01.Spe
 1332.45,   33873.7,  202.8    ,5.281e-001, 2.32,  0.17%,   6.63,     45599, 88,  A17-01.Spe
 1368.64,   17696.9,  157.8    ,2.759e-001, 2.33,  0.17%,   7.09,     31286, 89,  A17-01.Spe
 1408.01,    8782.1,  115.6    ,1.369e-001, 2.43,  0.17%,   3.26,     15976, 90,  A17-01.Spe
 1447.64,     197.1,  59.8     ,3.073e-003, 2.42,  0.17%,   0.87,    4358.0, 91,  A17-01.Spe
 1460.54,     415.6,  62.9     ,6.479e-003, 2.80,  0.19%,   1.47,    5835.0, 92,  A17-01.Spe
 1474.91,     210.9,  48.9     ,3.289e-003, 2.22,  0.15%,   0.88,    3497.0, 93,  A17-01.Spe
 1526.08,     557.3,  64.4     ,8.689e-003, 6.26,  0.41%,   1.42,    4345.0, 94,  A17-01.Spe
 1596.23,   98493.6,  319.2    ,1.536e+000, 2.47,  0.16%,   65.7,    104187, 95,  A17-01.Spe
 1691.01,     428.4,  35.1     ,6.679e-003, 2.35,  0.14%,   0.88,    1721.0, 96,  A17-01.Spe
 1731.64,     664.1,  42.6     ,1.035e-002, 3.40,  0.20%,   1.03,    2468.0, 97,  A17-01.Spe
