Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
 1924.93,     240.6,  30.8     ,3.751e-003, 3.17,  0.17%,   1.09,    1340.0, 98,  A17-01.Spe
 2009.56,    2215.9,  54.2     ,3.455e-002, 2.97,  0.15%,   0.62,    3301.0, 99,  A17-01.Spe
 2082.96,     479.3,  32.6     ,7.473e-003, 2.63,  0.13%,   1.08,    1307.0,100,  A17-01.Spe
 2242.78,    1385.1,  49.1     ,2.160e-002, 3.99,  0.18%,   1.25,    2948.0,101,  A17-01.Spe
 2347.69,     688.7,  38.2     ,1.074e-002, 3.36,  0.14%,   1.16,    1899.0,102,  A17-01.Spe
 2411.01,     125.9,  31.8     ,1.963e-003, 3.79,  0.16%,   1.29,    1505.0,103,  A17-01.Spe
 2505.30,     170.8,  29.0     ,2.663e-003, 2.36,  0.09%,   1.23,    1185.0,104,  A17-01.Spe
 2521.19,    2635.0,  59.2     ,4.108e-002, 3.34,  0.13%,   1.08,    3949.0,105,  A17-01.Spe
 2614.26,     258.5,  24.6     ,4.030e-003, 3.14,  0.12%,   1.18,     690.0,106,  A17-01.Spe
 2753.73,    9985.5,  101.6    ,1.557e-001, 3.35,  0.12%,   12.0,     10799,107,  A17-01.Spe
