Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
     keV,    Counts,Uncertainty,       CPS,  keV,Percent,Chi_Sqr,    Counts,ID#,  File
   74.46,    3825.8,  526.5    ,4.465e-002, 5.18,  6.95%,   1.11,    205520,  1,  C5-02.Spe
  145.29,     738.5,  168.9    ,8.618e-003,0.828,  0.57%,   0.71,     48914,  2,  C5-02.Spe
  159.37,    9532.7,  190.5    ,1.112e-001,0.951,  0.60%,   1.25,     50914,  3,  C5-02.Spe
  185.54,     708.2,  141.9    ,8.264e-003,0.910,  0.49%,   1.12,     29474,  4,  C5-02.Spe
  215.99,     533.9,  143.8    ,6.231e-003, 1.27,  0.59%,   1.05,     31639,  5,  C5-02.Spe
  238.66,     708.3,  121.7    ,8.266e-003, 1.11,  0.47%,   1.13,     22907,  6,  C5-02.Spe
  320.11,    2152.5,  99.4     ,2.512e-002, 1.12,  0.35%,   1.05,     14137,  7,  C5-02.Spe
  351.90,     272.2,  70.2     ,3.176e-003,0.852,  0.24%,   1.84,    7613.0,  8,  C5-02.Spe
  388.59,     888.2,  79.3     ,1.036e-002, 1.31,  0.34%,   1.45,    9169.0,  9,  C5-02.Spe
  496.56,     492.4,  66.5     ,5.746e-003, 1.57,  0.32%,   0.97,    6518.0, 10,  C5-02.Spe
  510.92,    1814.3,  94.9     ,2.117e-002, 2.30,  0.45%,   1.39,    7971.0, 11,  C5-02.Spe
  514.02,   28029.1,  179.2    ,3.271e-001, 1.24,  0.24%,   15.6,     37001, 12,  C5-02.Spe
  554.36,    2338.4,  69.4     ,2.729e-002, 1.31,  0.24%,   0.67,    6227.0, 13,  C5-02.Spe
  564.07,     601.5,  58.3     ,7.019e-003, 1.54,  0.27%,   1.12,    4804.0, 14,  C5-02.Spe
  583.32,     324.4,  54.2     ,3.785e-003, 1.54,  0.26%,   1.61,    3894.0, 15,  C5-02.Spe
  602.73,    4325.4,  83.6     ,5.048e-002, 1.30,  0.22%,   4.97,    8883.0, 16,  C5-02.Spe
  609.27,     444.1,  53.8     ,5.183e-003, 1.51,  0.25%,   0.79,    2856.0, 17,  C5-02.Spe
  619.14,    1246.7,  58.2     ,1.455e-002, 1.31,  0.21%,   0.95,    4589.0, 18,  C5-02.Spe
  646.02,     184.0,  45.6     ,2.148e-003, 1.24,  0.19%,   1.19,    3187.0, 19,  C5-02.Spe
  666.40,     571.9,  49.9     ,6.674e-003, 1.29,  0.19%,   1.28,    3492.0, 20,  C5-02.Spe
  698.40,     646.4,  49.7     ,7.543e-003, 1.40,  0.20%,   0.84,    3325.0, 21,  C5-02.Spe
  722.84,     388.8,  54.4     ,4.537e-003, 1.98,  0.27%,   1.18,    4432.0, 22,  C5-02.Spe
  756.90,     127.6,  34.8     ,1.489e-003,0.928,  0.12%,   1.31,    1698.0, 23,  C5-02.Spe
  765.80,     116.5,  36.4     ,1.360e-003, 1.01,  0.13%,   1.15,    2297.0, 24,  C5-02.Spe
  776.48,    1937.7,  59.5     ,2.261e-002, 1.35,  0.17%,   0.91,    4501.0, 25,  C5-02.Spe
  795.82,     530.3,  47.5     ,6.188e-003, 1.53,  0.19%,   0.79,    3085.0, 26,  C5-02.Spe
  827.81,     671.5,  51.0     ,7.836e-003, 1.71,  0.21%,   0.99,    3696.0, 27,  C5-02.Spe
  889.25,   12009.8,  117.0    ,1.402e-001, 1.55,  0.17%,   1.01,     14314, 28,  C5-02.Spe
  911.03,     237.5,  41.8     ,2.772e-003, 1.52,  0.17%,   1.03,    2728.0, 29,  C5-02.Spe
  968.70,     169.9,  34.6     ,1.983e-003, 1.45,  0.15%,   0.95,    1675.0, 30,  C5-02.Spe
 1043.88,     610.6,  39.7     ,7.125e-003, 1.90,  0.18%,   0.93,    2117.0, 31,  C5-02.Spe
 1076.72,   14112.2,  122.2    ,1.647e-001, 1.65,  0.15%,   1.17,     15427, 32,  C5-02.Spe
 1099.17,    2850.0,  59.1     ,3.326e-002, 1.68,  0.15%,   0.80,    3795.0, 33,  C5-02.Spe
 1115.47,    4409.3,  72.6     ,5.146e-002, 1.69,  0.15%,   1.17,    5318.0, 34,  C5-02.Spe
 1120.49,   10019.0,  104.5    ,1.169e-001, 1.72,  0.15%,   0.92,     10739, 35,  C5-02.Spe
 1173.15,    1841.0,  48.6     ,2.148e-002, 1.80,  0.15%,   1.12,    2620.0, 36,  C5-02.Spe
 1238.02,      84.3,  22.8     ,9.843e-004, 2.01,  0.16%,   0.87,     745.0, 37,  C5-02.Spe
 1291.48,    1884.8,  47.9     ,2.200e-002, 1.77,  0.14%,   0.93,    2376.0, 38,  C5-02.Spe
 1296.87,     846.5,  35.2     ,9.878e-003, 1.65,  0.13%,   1.25,    1321.0, 39,  C5-02.Spe
 1317.34,     586.5,  31.1     ,6.844e-003, 1.97,  0.15%,   0.86,    1167.0, 40,  C5-02.Spe
 1325.52,      76.3,  20.4     ,8.908e-004, 1.71,  0.13%,   0.94,     526.0, 41,  C5-02.Spe
 1332.32,    1547.0,  44.2     ,1.805e-002, 1.85,  0.14%,   1.86,    2164.0, 42,  C5-02.Spe
