Centroid,  Net_Area,   Net_Area,      Peak, FWHM,   FWHM,Reduced, ROI_Total,ROI
 1368.07,      60.5,  17.9     ,7.059e-004, 1.52,  0.11%,   1.19,     467.0, 43,  C5-02.Spe
 1376.21,     383.7,  23.3     ,4.477e-003, 6.60,  0.48%,   1.31,     411.0, 44,  C5-02.Spe
 1460.60,    1338.3,  40.6     ,1.562e-002, 1.93,  0.13%,   1.05,    1825.0, 45,  C5-02.Spe
 1474.79,     339.1,  24.7     ,3.957e-003, 1.94,  0.13%,   0.89,     756.0, 46,  C5-02.Spe
 1588.34,      45.1,  16.2     ,5.264e-004, 1.93,  0.12%,   0.71,     228.0, 47,  C5-02.Spe
 1596.04,     201.2,  21.9     ,2.348e-003, 2.42,  0.15%,   0.87,     593.0, 48,  C5-02.Spe
 1630.49,      48.2,  16.8     ,5.629e-004, 2.60,  0.16%,   1.00,     385.0, 49,  C5-02.Spe
 1690.88,     909.9,  33.6     ,1.062e-002, 2.07,  0.12%,   1.10,    1195.0, 50,  C5-02.Spe
 1764.04,     228.8,  19.2     ,2.671e-003, 2.58,  0.15%,   0.79,     396.0, 51,  C5-02.Spe
 1871.09,      81.9,  13.7     ,9.560e-004, 1.76,  0.09%,   0.96,     255.0, 52,  C5-02.Spe
 1889.07,     170.9,  25.0     ,1.994e-003,13.35,  0.71%,   0.78,     329.0, 53,  C5-02.Spe
 2009.38,     618.9,  26.9     ,7.222e-003, 1.99,  0.10%,   0.67,     781.0, 54,  C5-02.Spe
 2091.92,     179.0,  19.5     ,2.089e-003, 4.79,  0.23%,   0.94,     439.0, 55,  C5-02.Spe
 2103.44,      49.3,  14.2     ,5.752e-004, 3.24,  0.15%,   1.16,     267.0, 56,  C5-02.Spe
 2203.86,      81.9,  13.0     ,9.556e-004, 2.75,  0.12%,   1.02,     209.0, 57,  C5-02.Spe
 2293.30,      85.2,  12.7     ,9.947e-004, 1.96,  0.09%,   0.94,     211.0, 58,  C5-02.Spe
 2505.07,      57.9,  10.1     ,6.760e-004, 2.28,  0.09%,   0.75,     119.0, 59,  C5-02.Spe
 2613.82,     443.9,  22.4     ,5.180e-003, 2.54,  0.10%,   1.44,     538.0, 60,  C5-02.Spe
